,Train,Val,Test,Total,Train %,Val %,Test %
crosswalk,141,31,28,200,70.5,15.5,14.000000000000002
speedlimit,546,121,116,783,69.73180076628353,15.453384418901662,14.814814814814813
stop,62,15,14,91,68.13186813186813,16.483516483516482,15.384615384615385
trafficlight,110,24,36,170,64.70588235294117,14.117647058823529,21.176470588235293
Total,859,191,194,1244,69.05144694533763,15.35369774919614,15.594855305466238
